Comune;vertex.names.orig;vertex.names
Aiello del Friuli;AIELLO DEL FRIULI;AIELLO.DEL.FRIULI
Amaro;AMARO;AMARO
Ampezzo;AMPEZZO;AMPEZZO
Aquileia;AQUILEIA;AQUILEIA
Arba;ARBA;ARBA
Arta Terme;ARTA TERME;ARTA.TERME
Attimis;ATTIMIS;ATTIMIS
Aviano;AVIANO;AVIANO
Azzano Decimo;AZZANO DECIMO;AZZANO.DECIMO
Bagnaria Arsa;BAGNARIA ARSA;BAGNARIA.ARSA
Basiliano;BASILIANO;BASILIANO
Bertiolo;BERTIOLO;BERTIOLO
Bicinicco;BICINICCO;BICINICCO
Bordano;BORDANO;BORDANO
Brugnera;BRUGNERA;BRUGNERA
Budoia;BUDOIA;BUDOIA
Buttrio;BUTTRIO;BUTTRIO
Camino al Tagliamento;CAMINO AL TAGLIAMENTO;CAMINO.AL.TAGLIAMENTO
Campoformido;CAMPOFORMIDO;CAMPOFORMIDO
Campolongo Tapogliano;CAMPOLONGO TAPOGLIANO;CAMPOLONGO.TAPOGLIANO
Caneva;CANEVA;CANEVA
Carlino;CARLINO;CARLINO
Casarsa della Delizia;CASARSA DELLA DELIZIA;CASARSA.DELLA.DELIZIA
Cassacco;CASSACCO;CASSACCO
Castelnovo del Friuli;CASTELNOVO DEL FRIULI;CASTELNOVO.DEL.FRIULI
Castions di Strada;CASTIONS DI STRADA;CASTIONS.DI.STRADA
Cavasso Nuovo;CAVASSO NUOVO;CAVASSO.NUOVO
Cavazzo Carnico;CAVAZZO CARNICO;CAVAZZO.CARNICO
Cervignano del Friuli;CERVIGNANO DEL FRIULI;CERVIGNANO.DEL.FRIULI
Chions;CHIONS;CHIONS
Chiopris-Viscone;CHIOPRIS-VISCONE;CHIOPRIS.VISCONE
Chiusaforte;CHIUSAFORTE;CHIUSAFORTE
Claut;CLAUT;CLAUT
Clauzetto;CLAUZETTO;CLAUZETTO
Codroipo;CODROIPO;CODROIPO
Colloredo di Monte Albano;COLLOREDO DI MONTE ALBANO;COLLOREDO.DI.MONTE.ALBANO
Cordenons;CORDENONS;CORDENONS
Cormons;CORMONS;CORMONS
Corno di Rosazzo;CORNO DI ROSAZZO;CORNO.DI.ROSAZZO
Coseano;COSEANO;COSEANO
Dignano;DIGNANO;DIGNANO
Doberdo' del Lago;DOBERDO' DEL LAGO;DOBERDO..DEL.LAGO
Dolegna del Collio;DOLEGNA DEL COLLIO;DOLEGNA.DEL.COLLIO
Duino Aurisina;DUINO AURISINA;DUINO.AURISINA
Faedis;FAEDIS;FAEDIS
Fanna;FANNA;FANNA
Fiume Veneto;FIUME VENETO;FIUME.VENETO
Fiumicello Villa Vicentina;FIUMICELLO VILLA VICENTINA;FIUMICELLO.VILLA.VICENTINA
Flaibano;FLAIBANO;FLAIBANO
Fogliano Redipuglia;FOGLIANO REDIPUGLIA;FOGLIANO.REDIPUGLIA
Fontanafredda;FONTANAFREDDA;FONTANAFREDDA
Forgaria nel Friuli;FORGARIA NEL FRIULI;FORGARIA.NEL.FRIULI
Forni Avoltri;FORNI AVOLTRI;FORNI.AVOLTRI
Forni di Sopra;FORNI DI SOPRA;FORNI.DI.SOPRA
Forni di Sotto;FORNI DI SOTTO;FORNI.DI.SOTTO
Frisanco;FRISANCO;FRISANCO
Gemona del Friuli;GEMONA DEL FRIULI;GEMONA.DEL.FRIULI
Gonars;GONARS;GONARS
Grado;GRADO;GRADO
Latisana;LATISANA;LATISANA
Lauco;LAUCO;LAUCO
Lestizza;LESTIZZA;LESTIZZA
Lignano Sabbiadoro;LIGNANO SABBIADORO;LIGNANO.SABBIADORO
Lusevera;LUSEVERA;LUSEVERA
Magnano in Riviera;MAGNANO IN RIVIERA;MAGNANO.IN.RIVIERA
